ccode1,ccode2,capdist,iso_o,iso_d
52,212,7505.166586063961,TTO,LUX
52,210,7480.9078869244595,TTO,NLD
52,225,7555.81794679962,TTO,CHE
52,370,8998.142677128651,TTO,BLR
52,366,8781.068932093947,TTO,EST
52,375,8789.216305404558,TTO,FIN
52,367,8757.363915110347,TTO,LVA
52,368,8844.949751679753,TTO,LTU
52,359,9178.842538557736,TTO,MDA
52,360,9000.03070445543,TTO,ROU
52,369,9246.134972240468,TTO,UKR
52,781,14784.835098847281,TTO,MDV
52,698,12489.156387047738,TTO,OMN
52,520,11817.45620497337,TTO,SOM
52,780,15327.45863129976,TTO,LKA
52,701,11780.016181869922,TTO,TKM
52,704,12367.23640306043,TTO,UZB
52,679,11353.694186991028,TTO,YEM
52,371,10580.602830120184,TTO,ARM
52,373,10999.978957912796,TTO,AZE
52,692,11630.178968059021,TTO,BHR
52,630,11325.225738805952,TTO,IRN
52,690,11271.770490620878,TTO,KWT
52,694,11755.851641404286,TTO,QAT
52,670,11324.459656667275,TTO,SAU
52,696,12055.735407724505,TTO,ARE
52,700,12806.603851103737,TTO,AFG
52,703,12597.145606553693,TTO,KGZ
52,790,14465.479511615733,TTO,NPL
52,770,13156.550436710038,TTO,PAK
52,702,12516.908961424777,TTO,TJK
52,771,15137.340453252049,TTO,BGD
52,760,14768.823543772938,TTO,BTN
52,835,18244.536742151686,TTO,BRN
52,740,14404.24892461361,TTO,JPN
52,731,14451.297105904325,TTO,PRK
52,986,17389.690777141157,TTO,PLW
52,840,17197.725096237635,TTO,PHL
52,732,14594.331293470977,TTO,KOR
52,811,17139.24611430813,TTO,KHM
52,812,16416.767692667916,TTO,LAO
52,775,16111.756364634555,TTO,MMR
52,800,16695.951113440773,TTO,THA
52,816,16246.289861691477,TTO,VNM
52,983,13893.970893851754,TTO,MHL
52,987,15242.648247233607,TTO,FSM
52,571,10243.972077257587,TTO,BWA
52,516,10180.806308948995,TTO,BDI
52,501,10954.221011553671,TTO,KEN
52,517,10228.61800046405,TTO,RWA
52,551,10304.288058192902,TTO,ZMB
52,552,10639.739587499607,TTO,ZWE
52,581,11841.397971169905,TTO,COM
52,570,10489.31064800107,TTO,LSO
52,553,10862.4577853938,TTO,MWI
52,541,10932.431573530104,TTO,MOZ
52,560,10495.386578339585,TTO,ZAF
52,572,10792.909054663189,TTO,SWZ
52,540,8552.914335785472,TTO,AGO
52,484,8665.303598853618,TTO,COG
52,490,8670.189385080224,TTO,COD
52,950,13589.161844304386,TTO,FJI
52,481,7926.952448271542,TTO,GAB
52,565,9316.576910331802,TTO,NAM
52,920,13567.099179768024,TTO,NZL
52,580,12382.29209683287,TTO,MDG
52,590,13434.767966977088,TTO,MUS
52,591,13057.964615591764,TTO,SYC
52,860,19179.061401604755,TTO,TLS
52,900,15900.526259230952,TTO,AUS
52,970,14555.892452894415,TTO,NRU
52,910,16910.505104241412,TTO,PNG
52,940,15488.15077202141,TTO,SLB
52,947,13400.590544046265,TTO,TUV
52,935,14648.779062083102,TTO,VUT
52,20,4085.049529977268,TTO,CAN
52,255,8053.5838718872865,TTO,DEU
52,713,16037.853403960411,TTO,TWN
52,710,14398.657618476032,TTO,CHN
52,820,17640.691790015775,TTO,MYS
52,830,17944.493676684353,TTO,SGP
52,850,18672.939813719542,TTO,IDN
52,620,7951.313992907954,TTO,LBY
52,483,8351.193428753051,TTO,TCD
52,666,10022.857020576655,TTO,ISR
52,652,10078.443010960842,TTO,SYR
52,651,9689.652148053949,TTO,EGY
52,750,13808.386600700469,TTO,IND
52,341,8463.390939864672,TTO,MNE
52,347,8618.441873886659,TTO,KOS
52,345,8551.257446117608,TTO,SRB
52,2,3487.6147348259933,TTO,USA
52,510,10932.408239814456,TTO,TZA
52,600,6112.576672931145,TTO,MAR
52,435,4963.871698423643,TTO,MRT
52,625,10128.181101963191,TTO,SDN
52,626,10257.238518300202,TTO,SSD
101,110,1041.1280845247861,VEN,GUY
101,115,1388.3862807722496,VEN,SUR
101,52,591.2074691415809,VEN,TTO
101,101,0,VEN,VEN
101,990,11906.71422805906,VEN,WSM
101,955,12298.173708304392,VEN,TON
101,160,5065.897573672064,VEN,ARG
101,145,2989.5346307482196,VEN,BOL
101,140,3584.020155473354,VEN,BRA
101,155,4885.9695396155985,VEN,CHL
101,130,1747.4689272720366,VEN,ECU
101,150,4084.242470230103,VEN,PRY
101,135,2737.495819977673,VEN,PER
101,165,5149.816983651036,VEN,URY
101,90,2603.3921299626936,VEN,GTM
101,70,3594.8330097669855,VEN,MEX
101,53,845.8678188127149,VEN,BRB
101,54,798.7603161840894,VEN,DMA
101,55,582.6160712372615,VEN,GRD
101,56,749.5433718570855,VEN,LCA
101,57,687.5449137021146,VEN,VCT
101,42,938.8171373810127,VEN,DOM
101,41,1062.683504981931,VEN,HTI
101,51,1351.9922665175695,VEN,JAM
