year,cgdppc,gptfr,cow_code,polity2,iso3,toa_ml,toa_fa,tfr_delta10
1882,NA,7.13,645,NA,IRQ,1964,NA,0
1882,NA,4.94,666,NA,ISR,1953,1959,0.13
1882,1722,5.03,325,-4,ITA,1924,1936,-0.14
1882,NA,5.12,51,NA,JAM,1966,NA,-0.13
1882,NA,6.97,663,NA,JOR,1960,NA,0
1882,1127,3.67,740,1,JPN,1922,1969,-0.11
1882,NA,6.45,705,NA,KAZ,1990,NA,0
1882,NA,6.91,501,NA,KEN,1976,NA,0
1882,NA,6.58,703,NA,KGZ,1955,1936,0
1882,NA,6.95,811,NA,KHM,1957,NA,0
1882,NA,6,732,NA,KOR,1993,2018,0
1882,NA,6.87,690,NA,KWT,1964,NA,0
1882,NA,6.13,812,NA,LAO,1994,NA,0
1882,NA,5.74,660,NA,LBN,1943,1943,0
1882,NA,6.19,450,4,LBR,NA,NA,0
1882,NA,7.2,620,NA,LBY,1957,NA,0
1882,1089,5.49,780,NA,LKA,1939,NA,0.19
1882,NA,5.84,570,NA,LSO,1992,NA,0
1882,NA,5.21,368,NA,LTU,1925,1936,0.07
1882,NA,4.18,212,2,LUX,1925,1947,0.090000004
1882,NA,3.95,367,NA,LVA,1922,1936,0.27000001
1882,NA,6.5,600,-6,MAR,1952,1959,0
1882,NA,6.39,359,NA,MDA,NA,1936,0
1882,NA,6.89,580,NA,MDG,1952,1956,0
1882,NA,6.8,70,-9,MEX,1917,1998,0
1882,NA,5.44,343,NA,MKD,NA,NA,0.44999999
1882,NA,6.23,432,NA,MLI,1952,1955,0
1882,NA,6.03,775,NA,MMR,1954,NA,0
1882,NA,5.32,341,NA,MNE,NA,NA,0.039999999
1882,NA,5.94,712,NA,MNG,1994,2006,0
1882,NA,6.63,541,NA,MOZ,NA,NA,0
1882,NA,6.34,435,NA,MRT,1952,1955,0
1882,NA,4.98,590,NA,MUS,1975,NA,0.050000001
1882,NA,6.78,553,NA,MWI,2000,NA,0
1882,NA,5.45,820,NA,MYS,1955,NA,0
1882,NA,5.96,565,NA,NAM,1994,NA,0
