iso3,year,cow_code,toa,legal_origin,dur_rat1membership,equalindx_WoL,country_names
SEN,1907,433,1967,2,NA,NA,Senegal
SGP,1907,830,NA,1,NA,NA,Singapore
SLB,1907,940,2012,1,NA,NA,Solomon Islands
SLE,1907,451,1966,1,NA,NA,Sierra Leone
SLV,1907,92,1995,2,NA,NA,El Salvador
SOM,1907,520,1961,NA,NA,NA,Somalia
SRB,1907,345,2000,2,NA,NA,Serbia
SSD,1907,626,2012,NA,NA,NA,South Sudan
SUR,1907,115,2017,2,NA,NA,Suriname
SVK,1907,317,1993,3,NA,NA,Slovakia
SVN,1907,349,1992,3,NA,NA,Slovenia
SWE,1907,380,1962,4,NA,NA,Sweden
SWZ,1907,572,1981,1,NA,NA,Eswatini
SYR,1907,652,1960,2,NA,NA,Syria
TCD,1907,483,1966,2,NA,NA,Chad
TGO,1907,461,1983,2,NA,NA,Togo
THA,1907,800,2017,1,NA,NA,Thailand
TJK,1907,702,1993,2,NA,NA,Tajikistan
TKM,1907,701,1997,2,NA,NA,Turkmenistan
TLS,1907,860,2016,NA,NA,NA,Timor-Leste
TTO,1907,52,1970,1,NA,NA,Trinidad & Tobago
TUN,1907,616,1959,2,NA,NA,Tunisia
TUR,1907,640,1967,2,NA,NA,Turkey
TZA,1907,510,2002,1,NA,NA,Tanzania
UGA,1907,500,2005,1,NA,NA,Uganda
UKR,1907,369,1961,2,NA,NA,Ukraine
URY,1907,165,1989,2,NA,NA,Uruguay
USA,1907,2,NA,1,NA,NA,United States
UZB,1907,704,1992,2,NA,NA,Uzbekistan
VEN,1907,101,1971,2,NA,NA,Venezuela
VNM,1907,816,1997,2,NA,NA,Vietnam
YEM,1907,679,1969,2,NA,NA,Yemen
ZAF,1907,560,1997,1,NA,NA,South Africa
ZMB,1907,551,1979,1,NA,NA,Zambia
ZWE,1907,552,1999,1,NA,NA,Zimbabwe
AFG,1908,700,1969,2,NA,NA,Afghanistan
AGO,1908,540,1976,2,NA,NA,Angola
ALB,1908,339,1997,2,NA,NA,Albania
ARE,1908,696,2001,1,NA,NA,United Arab Emirates
ARG,1908,160,1968,2,NA,NA,Argentina
ARM,1908,371,1994,2,NA,NA,Armenia
AUS,1908,900,1973,1,NA,NA,Australia
AUT,1908,305,1973,3,NA,NA,Austria
AZE,1908,373,1992,2,NA,NA,Azerbaijan
BDI,1908,516,1993,2,NA,NA,Burundi
BEL,1908,211,1977,2,NA,NA,Belgium
BEN,1908,434,1961,2,NA,NA,Benin
BFA,1908,439,1962,2,NA,NA,Burkina Faso
BGD,1908,771,1972,1,NA,NA,Bangladesh
BGR,1908,355,1960,3,NA,NA,Bulgaria
BHR,1908,692,2000,1,NA,NA,Bahrain
BIH,1908,346,1993,3,NA,NA,Bosnia & Herzegovina
BLR,1908,370,1961,3,NA,NA,Belarus
BOL,1908,145,1977,2,NA,NA,Bolivia
BRA,1908,140,1965,2,NA,NA,Brazil
BTN,1908,NA,NA,NA,NA,NA,Bhutan
BWA,1908,571,1997,1,NA,NA,Botswana
CAF,1908,482,1964,2,NA,NA,Central African Republic
CAN,1908,20,1964,1,NA,NA,Canada
CHE,1908,225,1961,3,NA,NA,Switzerland
CHL,1908,155,1971,2,NA,NA,Chile
CHN,1908,710,2006,3,NA,NA,China
CIV,1908,437,1961,2,NA,NA,Côte d’Ivoire
CMR,1908,471,1988,2,NA,NA,Cameroon
COD,1908,490,2001,2,NA,NA,Congo - Kinshasa
COG,1908,484,1999,2,NA,NA,Congo - Brazzaville
COL,1908,100,1969,2,NA,NA,Colombia
COM,1908,581,2004,2,NA,NA,Comoros
CPV,1908,402,1979,2,NA,NA,Cape Verde
CRI,1908,94,1962,2,NA,NA,Costa Rica
CUB,1908,40,1965,NA,NA,NA,Cuba
CYP,1908,352,1968,1,NA,NA,Cyprus
CZE,1908,316,1993,3,NA,NA,Czechia
DEU,1908,255,1961,3,NA,NA,Germany
DJI,1908,522,2005,2,NA,NA,Djibouti
DNK,1908,390,1960,4,NA,NA,Denmark
