"","iso3","year","cow_code","region","confidence","toa","country_names"
"203","DEU",1881,255,"Western Europe","High",1883,"Germany"
"204","DJI",1881,522,"Africa",NA,NA,"Djibouti"
"205","DNK",1881,390,"Northern Europe","Low",1892,"Denmark"
"206","DOM",1881,42,"Americas","High",1947,"Dominican Republic"
"207","DZA",1881,615,"Africa","High",1976,"Algeria"
"208","ECU",1881,130,"Americas","High",1935,"Ecuador"
"209","EGY",1881,NA,NA,NA,NA,"Egypt"
"210","ESP",1881,230,"Europe","Medium",1883,"Spain"
"211","EST",1881,366,"Central and Eastern Europe","Medium",1912,"Estonia"
"212","ETH",1881,530,"Africa",NA,NA,"Ethiopia"
"213","FIN",1881,375,"Northern Europe","Low",1963,"Finland"
"214","FJI",1881,950,"Oceania","Low",1977,"Fiji"
"215","FRA",1881,220,"Western Europe","Medium",1893,"France"
"216","GAB",1881,481,"Africa",NA,NA,"Gabon"
"217","GBR",1881,200,"Western Europe","High",1911,"United Kingdom"
"218","GEO",1881,372,"Central and Eastern Europe","Low",1912,"Georgia"
"219","GHA",1881,NA,NA,NA,NA,"Ghana"
"220","GIN",1881,438,"Africa",NA,NA,"Guinea"
"221","GMB",1881,420,"Africa",NA,NA,"Gambia"
"222","GNB",1881,404,"Africa","Low",1993,"Guinea-Bissau"
"223","GNQ",1881,411,"Africa","Low",NA,"Equatorial Guinea"
"224","GRC",1881,350,"Southern Europe","Medium",1922,"Greece"
"225","GTM",1881,90,"Americas","High",1944,"Guatemala"
"226","GUY",1881,110,"Americas","Medium",NA,"Guyana"
"227","HND",1881,91,"Americas","High",1959,"Honduras"
"228","HRV",1881,344,"Central and Eastern Europe","Medium",1888,"Croatia"
"229","HTI",1881,41,"Americas","High",1948,"Haiti"
"230","HUN",1881,310,"Central and Eastern Europe","Medium",1891,"Hungary"
"231","IDN",1881,850,"South-eastern Asia","Medium",1949,"Indonesia"
"232","IND",1881,750,"Southern Asia","Low",1947,"India"
"233","IRL",1881,205,"Western Europe",NA,NA,"Ireland"
"234","IRN",1881,630,"Southern Asia","Medium",1955,"Iran"
"235","IRQ",1881,645,"Western Asia",NA,NA,"Iraq"
"236","ISR",1881,666,"Western Asia","Low",1948,"Israel"
"237","ITA",1881,325,"Southern Europe","Medium",1923,"Italy"
"238","JAM",1881,51,"Americas","High",1965,"Jamaica"
"239","JOR",1881,663,"Western Asia",NA,NA,"Jordan"
"240","JPN",1881,740,"Eastern Asia","High",1922,"Japan"
"241","KAZ",1881,705,"Central Asia","Low",1922,"Kazakhstan"
"242","KEN",1881,501,"Africa",NA,NA,"Kenya"
"243","KGZ",1881,703,"Central Asia","Low",1922,"Kyrgyzstan"
"244","KHM",1881,811,"South-eastern Asia","Low",1955,"Cambodia"
"245","KOR",1881,732,"Eastern Asia","Medium",1976,"South Korea"
"246","KWT",1881,690,"Western Asia",NA,NA,"Kuwait"
"247","LAO",1881,812,"South-eastern Asia","Medium",1975,"Laos"
"248","LBN",1881,660,"Western Asia",NA,NA,"Lebanon"
"249","LBR",1881,450,"Africa",NA,NA,"Liberia"
"250","LBY",1881,NA,NA,NA,NA,"Libya"
"251","LKA",1881,780,"Southern Asia","Medium",1948,"Sri Lanka"
"252","LSO",1881,570,"Africa",NA,NA,"Lesotho"
"253","LTU",1881,368,"Central and Eastern Europe","Medium",1912,"Lithuania"
"254","LUX",1881,212,"Western Europe",NA,NA,"Luxembourg"
"255","LVA",1881,367,"Central and Eastern Europe","Medium",1912,"Latvia"
"256","MAR",1881,600,"Africa",NA,NA,"Morocco"
"257","MDA",1881,359,"Central and Eastern Europe","Medium",1912,"Moldova"
"258","MDG",1881,580,"Africa",NA,NA,"Madagascar"
"259","MEX",1881,70,"Americas","High",1943,"Mexico"
"260","MKD",1881,343,"Central and Eastern Europe","Medium",1922,"North Macedonia"
"261","MLI",1881,432,"Africa","Low",1970,"Mali"
"262","MMR",1881,775,"South-eastern Asia","Medium",1953,"Myanmar (Burma)"
"263","MNE",1881,341,"Central and Eastern Europe","Medium",1922,"Montenegro"
"264","MNG",1881,712,"Eastern Asia","Medium",1921,"Mongolia"
"265","MOZ",1881,541,"Africa","Low",1975,"Mozambique"
"266","MRT",1881,NA,NA,NA,NA,"Mauritania"
"267","MUS",1881,590,"Africa",NA,NA,"Mauritius"
"268","MWI",1881,553,"Africa",NA,NA,"Malawi"
"269","MYS",1881,820,"South-eastern Asia","Medium",1957,"Malaysia"
"270","NAM",1881,565,"Africa",NA,NA,"Namibia"
"271","NER",1881,436,"Africa",NA,NA,"Niger"
"272","NGA",1881,475,"Africa",NA,NA,"Nigeria"
"273","NIC",1881,93,"Americas","High",1956,"Nicaragua"
"274","NLD",1881,210,"Western Europe","Medium",1941,"Netherlands"
"275","NOR",1881,385,"Northern Europe","Medium",1912,"Norway"
"276","NPL",1881,790,"Southern Asia",NA,NA,"Nepal"
"277","NZL",1881,920,"Oceania","Medium",1906,"New Zealand"
"278","OMN",1881,698,"Western Asia",NA,NA,"Oman"
"279","PAK",1881,770,"Southern Asia","Low",1947,"Pakistan"
"280","PAN",1881,95,"Americas","High",1941,"Panama"
"281","PER",1881,135,"Americas","High",1935,"Peru"
"282","PHL",1881,840,"South-eastern Asia","Medium",1954,"Philippines"
"283","PNG",1881,910,"Oceania","Low",1977,"Papua New Guinea"
"284","POL",1881,290,"Central and Eastern Europe","Medium",1920,"Poland"
"285","PRK",1881,731,"Eastern Asia","Medium",1946,"North Korea"
"286","PRT",1881,235,"Europe","Medium",1889,"Portugal"
"287","PRY",1881,150,"Americas","High",1936,"Paraguay"
"288","QAT",1881,694,"Western Asia",NA,NA,"Qatar"
"289","ROU",1881,360,"Central and Eastern Europe","Medium",1933,"Romania"
"290","RUS",1881,365,"Central and Eastern Europe","Medium",1912,"Russia"
