"","iso3","year","cow_code","x1","toa","country_names"
"2050","KWT",1892,690,42,NA,"Kuwait"
"2051","LAO",1892,812,42,1999,"Laos"
"2052","LBN",1892,660,42,1963,"Lebanon"
"2053","LBR",1892,450,42,1943,"Liberia"
"2054","LBY",1892,620,42,1958,"Libya"
"2055","LKA",1892,780,42,NA,"Sri Lanka"
"2056","LSO",1892,570,42,NA,"Lesotho"
"2057","LTU",1892,368,42,1925,"Lithuania"
"2058","LUX",1892,212,42,1901,"Luxembourg"
"2059","LVA",1892,367,42,1924,"Latvia"
"2060","MAR",1892,600,42,1959,"Morocco"
"2061","MDA",1892,359,42,1993,"Moldova"
"2062","MDG",1892,580,42,1952,"Madagascar"
"2063","MEX",1892,70,42,1943,"Mexico"
"2064","MKD",1892,NA,NA,NA,"North Macedonia"
"2065","MLI",1892,432,42,1952,"Mali"
"2066","MMR",1892,775,42,1954,"Myanmar (Burma)"
"2067","MNE",1892,NA,NA,NA,"Montenegro"
"2068","MNG",1892,NA,NA,NA,"Mongolia"
"2069","MOZ",1892,NA,NA,NA,"Mozambique"
"2070","MRT",1892,435,42,1952,"Mauritania"
"2071","MUS",1892,590,42,NA,"Mauritius"
"2072","MWI",1892,553,42,NA,"Malawi"
"2073","MYS",1892,820,42,1951,"Malaysia"
"2074","NAM",1892,565,42,1994,"Namibia"
"2075","NER",1892,436,42,1952,"Niger"
"2076","NGA",1892,475,42,NA,"Nigeria"
"2077","NIC",1892,93,42,1956,"Nicaragua"
"2078","NLD",1892,210,42,1931,"Netherlands"
"2079","NOR",1892,385,42,1909,"Norway"
"2080","NPL",1892,790,42,NA,"Nepal"
"2081","NZL",1892,920,42,1938,"New Zealand"
"2082","OMN",1892,698,42,NA,"Oman"
"2083","PAK",1892,770,42,1962,"Pakistan"
"2084","PAN",1892,95,42,1941,"Panama"
"2085","PER",1892,135,42,1936,"Peru"
"2086","PHL",1892,840,42,1954,"Philippines"
"2087","PNG",1892,910,42,NA,"Papua New Guinea"
"2088","POL",1892,290,42,1920,"Poland"
"2089","PRK",1892,NA,NA,NA,"North Korea"
"2090","PRT",1892,235,42,1935,"Portugal"
"2091","PRY",1892,150,42,1943,"Paraguay"
"2092","QAT",1892,694,42,NA,"Qatar"
"2093","ROU",1892,360,42,1930,"Romania"
"2094","RUS",1892,365,42,1912,"Russia"
"2095","RWA",1892,517,42,NA,"Rwanda"
"2096","SAU",1892,670,42,NA,"Saudi Arabia"
"2097","SDN",1892,625,42,NA,"Sudan"
"2098","SEN",1892,433,42,1952,"Senegal"
"2099","SGP",1892,830,42,1953,"Singapore"
"2100","SLB",1892,940,42,NA,"Solomon Islands"
"2101","SLE",1892,451,42,NA,"Sierra Leone"
"2102","SLV",1892,92,42,1949,"El Salvador"
